Date,ARIMA
2025-04-17,372.85183095834
2025-04-18,373.1823336449947
2025-04-21,373.4401791802862
2025-04-22,373.74886929752324
2025-04-23,374.3876488289579
2025-04-24,374.26346705837545
2025-04-25,374.21185899448443
2025-04-28,374.19038113958305
2025-04-29,374.16947455928596
2025-04-30,374.1434111580535
2025-05-01,374.15343831731377
2025-05-02,374.15750681316007
2025-05-05,374.1587201940865
2025-05-06,374.1597733566546
2025-05-07,374.1606798177793
2025-05-08,374.159981745526
2025-05-09,374.1597329154382
2025-05-12,374.15968509954473
2025-05-13,374.1596446335755
2025-05-14,374.1596220907707
2025-05-15,374.15966541280085
2025-05-16,374.15967801987455
2025-05-19,374.15967868960297
2025-05-20,374.15967961950963
2025-05-21,374.15967960927645
2025-05-22,374.15967717561176
2025-05-23,374.15967666134225
2025-05-26,374.15967676143464
2025-05-27,374.15967678170637
2025-05-28,374.1596768307627
