Date,Actual,RandomForest,XGBoost
2025-02-05,414.9879150390625,417.61035308837893,412.67004
2025-02-06,408.9300537109375,415.8069158935547,414.8871
2025-02-07,411.3951110839844,410.4057275390625,407.9553
2025-02-10,410.6166687011719,414.22126068115233,413.62457
2025-02-11,408.2214660644531,411.5865237426758,413.20886
2025-02-12,409.7184753417969,411.04529235839846,411.92535
2025-02-13,407.6126708984375,415.47678955078123,411.84088
2025-02-14,408.8202819824219,408.8434741210938,408.60397
2025-02-18,413.94000244140625,408.5410931396484,407.9553
2025-02-19,416.1300048828125,414.2327166748047,415.07706
2025-02-20,408.2099914550781,415.626399230957,414.44073
2025-02-21,404.0,411.04529235839846,411.92535
2025-02-24,397.8999938964844,409.89580291748047,405.09695
2025-02-25,399.7300109863281,399.95603149414063,396.59695
2025-02-26,392.5299987792969,400.1919757080078,387.12375
2025-02-27,396.989990234375,397.2901434326172,394.8054
2025-02-28,388.489990234375,397.60945190429686,399.85074
2025-03-03,388.6099853515625,393.88460845947264,392.24014
2025-03-04,401.0199890136719,393.88460845947264,392.24014
2025-03-05,396.8900146484375,398.4985998535156,403.57986
2025-03-06,393.30999755859375,397.5846417236328,399.85074
2025-03-07,380.1600036621094,397.23446868896485,397.43814
2025-03-10,380.45001220703125,393.88460845947264,392.24014
2025-03-11,383.2699890136719,393.88460845947264,392.24014
2025-03-12,378.7699890136719,393.88460845947264,392.24014
2025-03-13,388.55999755859375,393.88460845947264,392.24014
2025-03-14,388.70001220703125,393.88460845947264,392.24014
2025-03-17,383.5199890136719,393.88460845947264,392.24014
2025-03-18,387.82000732421875,393.88460845947264,392.24014
2025-03-19,386.8399963378906,393.88460845947264,392.24014
2025-03-20,391.260009765625,393.88460845947264,392.24014
2025-03-21,393.0799865722656,396.30138610839845,392.24014
2025-03-24,395.1600036621094,397.23446868896485,397.43814
2025-03-25,389.9700012207031,402.65681884765627,403.223
2025-03-26,390.5799865722656,395.72319885253904,392.24014
2025-03-27,378.79998779296875,395.72319885253904,392.24014
2025-03-28,375.3900146484375,393.88460845947264,392.24014
2025-03-31,382.19000244140625,393.88460845947264,392.24014
2025-04-01,382.1400146484375,393.88460845947264,392.24014
2025-04-02,373.1099853515625,393.88460845947264,392.24014
2025-04-03,359.8399963378906,393.88460845947264,392.24014
2025-04-04,357.8599853515625,393.88460845947264,392.24014
2025-04-07,354.55999755859375,393.88460845947264,392.24014
2025-04-08,390.489990234375,393.88460845947264,392.24014
2025-04-09,381.3500061035156,395.72319885253904,392.24014
2025-04-10,388.45001220703125,393.88460845947264,392.24014
2025-04-11,387.80999755859375,393.88460845947264,392.24014
2025-04-14,385.7300109863281,393.88460845947264,392.24014
2025-04-15,371.6099853515625,393.88460845947264,392.24014
2025-04-16,367.7799987792969,393.88460845947264,392.24014
