Date,ARIMA
2025-04-17,153.02674223346366
2025-04-18,153.2249568435929
2025-04-21,153.6592520172558
2025-04-22,153.8232965323548
2025-04-23,153.7831805171735
2025-04-24,153.7318647087664
2025-04-25,153.69563258683158
2025-04-28,153.6951922834297
2025-04-29,153.70407212295893
2025-04-30,153.70948924456906
2025-05-01,153.71095429480437
2025-05-02,153.709753032883
2025-05-05,153.70877800431643
2025-05-06,153.7084630845723
2025-05-07,153.70854948602698
2025-05-08,153.70872052824447
2025-05-09,153.70878718184093
2025-05-12,153.70878510759414
2025-05-13,153.70876169567188
2025-05-14,153.70874733515706
2025-05-15,153.70874594912755
2025-05-16,153.70874891169365
2025-05-19,153.70875143656122
2025-05-20,153.70875207364713
2025-05-21,153.70875171338542
2025-05-22,153.70875131304692
2025-05-23,153.70875115311443
2025-05-26,153.7087511799548
2025-05-27,153.7087512428242
2025-05-28,153.70875127450563
