Date,Actual,RandomForest,XGBoost
2025-02-05,191.3795928955078,192.69677978515625,189.22974
2025-02-06,185.1267852783203,195.52162002563477,194.34503
2025-02-07,186.2554931640625,190.17014190673828,194.68863
2025-02-10,185.10682678222656,185.22053314208983,183.61356
2025-02-11,183.39878845214844,190.17014190673828,194.68863
2025-02-12,185.92587280273438,182.70963760375977,183.22078
2025-02-13,185.01690673828125,185.22053314208983,183.61356
2025-02-14,183.55859375,191.6097903442383,194.68863
2025-02-18,185.05686950683594,182.68462844848634,183.22078
2025-02-19,184.34768676757812,190.17014190673828,194.68863
2025-02-20,179.4533233642578,185.51823974609374,183.22078
2025-02-21,179.04379272460938,179.77223358154296,179.43408
2025-02-24,175.21820068359375,179.68601058959962,179.43408
2025-02-25,172.5312957763672,175.97171798706054,172.37741
2025-02-26,168.30616760253906,173.3546092224121,173.19388
2025-02-27,170.0841064453125,169.85611557006837,168.51457
2025-02-28,166.81787109375,167.38220977783203,170.82489
2025-03-03,170.72337341308594,163.92463973999023,162.94473
2025-03-04,172.8209686279297,170.44543701171875,170.64455
2025-03-05,172.1517333984375,174.1459732055664,174.1113
2025-03-06,173.66000366210938,173.8262110900879,174.71729
2025-03-07,165.8699951171875,174.28587615966796,174.34277
2025-03-10,164.0399932861328,164.25522445678712,165.99904
2025-03-11,167.11000061035156,162.13508438110352,161.83861
2025-03-12,162.75999450683594,166.36702362060547,162.94473
2025-03-13,165.49000549316406,159.49814682006837,163.8343
2025-03-14,164.2899932861328,165.87296199035643,166.02971
2025-03-17,160.6699981689453,165.7102749633789,162.29356
2025-03-18,163.88999938964844,162.38858917236328,160.98055
2025-03-19,162.8000030517578,162.03879028320313,164.71394
2025-03-20,163.99000549316406,159.49944885253908,157.42917
2025-03-21,167.67999267578125,162.05995712280273,164.71394
2025-03-24,170.55999755859375,168.68843048095704,170.2706
2025-03-25,165.05999755859375,169.1769924926758,168.6554
2025-03-26,162.24000549316406,165.08408294677736,165.4693
2025-03-27,154.3300018310547,162.38812698364256,162.88716
2025-03-28,154.63999938964844,159.39159057617186,155.5104
2025-03-31,157.07000732421875,159.4029411315918,157.21895
2025-04-01,157.0399932861328,156.5132566833496,155.9294
2025-04-02,150.72000122070312,156.5132566833496,155.9294
2025-04-03,145.60000610351562,152.98802551269532,148.4392
2025-04-04,146.75,150.1113415527344,150.81023
2025-04-07,144.6999969482422,150.1113415527344,150.81023
2025-04-08,158.7100067138672,150.1113415527344,150.81023
2025-04-09,152.82000732421875,158.06063278198243,157.78133
2025-04-10,157.13999938964844,156.30989501953124,154.2572
2025-04-11,159.07000732421875,156.99317153930664,157.57042
2025-04-14,156.30999755859375,159.81731384277344,159.38887
2025-04-15,153.3300018310547,152.91913681030275,156.6216
2025-04-16,151.16000366210938,157.3470068359375,154.2572
