Date,Actual,RandomForest,XGBoost,Actual_Prophet,Prophet
2025-03-06,393.30999755859375,397.5846417236328,399.85074,396.8900146484375,400.93929080623894
2025-03-07,380.1600036621094,397.23446868896485,397.43814,393.30999755859375,400.3501887829737
2025-03-10,380.45001220703125,393.88460845947264,392.24014,380.1600036621094,403.94056522809876
2025-03-11,383.2699890136719,393.88460845947264,392.24014,380.45001220703125,403.47548128687737
2025-03-12,378.7699890136719,393.88460845947264,392.24014,383.2699890136719,398.64491610386136
2025-03-13,388.55999755859375,393.88460845947264,392.24014,378.7699890136719,399.29895429895487
2025-03-14,388.70001220703125,393.88460845947264,392.24014,388.55999755859375,400.18358803844234
2025-03-17,383.5199890136719,393.88460845947264,392.24014,388.70001220703125,397.68369624455204
2025-03-18,387.82000732421875,393.88460845947264,392.24014,383.5199890136719,397.09459422129027
2025-03-19,386.8399963378906,393.88460845947264,392.24014,387.82000732421875,400.68497066640157
2025-03-20,391.260009765625,393.88460845947264,392.24014,386.8399963378906,400.21988672518995
2025-03-21,393.0799865722656,396.30138610839845,392.24014,391.260009765625,395.389321542173
2025-03-24,395.1600036621094,397.23446868896485,397.43814,393.0799865722656,396.04335973727103
2025-03-25,389.9700012207031,402.65681884765627,403.223,395.1600036621094,396.92799347675617
2025-03-26,390.5799865722656,395.72319885253904,392.24014,389.9700012207031,394.42810168287286
2025-03-27,378.79998779296875,395.72319885253904,392.24014,390.5799865722656,393.838999659605
2025-03-28,375.3900146484375,393.88460845947264,392.24014,378.79998779296875,397.4293761047174
2025-03-31,382.19000244140625,393.88460845947264,392.24014,375.3900146484375,396.9642921635003
2025-04-01,382.1400146484375,393.88460845947264,392.24014,382.19000244140625,392.13372698048545
2025-04-02,373.1099853515625,393.88460845947264,392.24014,382.1400146484375,392.78776517558686
2025-04-03,359.8399963378906,393.88460845947264,392.24014,373.1099853515625,393.6723989150718
2025-04-04,357.8599853515625,393.88460845947264,392.24014,359.8399963378906,391.17250712118437
2025-04-07,354.55999755859375,393.88460845947264,392.24014,357.8599853515625,390.5834050979234
2025-04-08,390.489990234375,393.88460845947264,392.24014,354.55999755859375,394.17378154303486
2025-04-09,381.3500061035156,395.72319885253904,392.24014,390.489990234375,393.7086976018117
2025-04-10,388.45001220703125,393.88460845947264,392.24014,381.3500061035156,388.878132418807
2025-04-11,387.80999755859375,393.88460845947264,392.24014,388.45001220703125,389.53217061390313
2025-04-14,385.7300109863281,393.88460845947264,392.24014,387.80999755859375,390.41680435338554
2025-04-15,371.6099853515625,393.88460845947264,392.24014,385.7300109863281,387.9169125594958
2025-04-16,367.7799987792969,393.88460845947264,392.24014,371.6099853515625,387.32781053623813
